zipcode,size_rank,state,2016-2017_mean_zillow_score,2016-2017_%change_zillow_score,< 5_years,5-9_years,10-14_years,15-19_years,20-24_years,25-34_years,35-44_years,45-54_years,55-59_years,60-64_years,65-74_years,75-84_years,85_years_or_more,median_household_income,mean_household_income
81008,6902,CO,163592.3076923077,0.08200589970501475,0.06398983978116451,0.06262211801484956,0.0600820633059789,0.061645173896053146,0.0564673700664322,0.1488862837045721,0.1185033216100039,0.1254396248534584,0.07161000390777647,0.06525986713559985,0.09232121922626026,0.0528526768268855,0.02032043767096522,51545,69019
81019,12189,CO,162900.0,0.04886769964243146,0.047723532638507954,0.07899067471201317,0.08941305540318156,0.06198573779484366,0.044432254525507406,0.09928688974218322,0.13439385628085573,0.0405924300603401,0.07953922106417992,0.10093252879868349,0.17498628634119584,0.03565551289083928,0.012068019747668678,55505,71519
81022,12866,CO,121138.46153846153,0.0624,0.09061277705345502,0.01955671447196871,0.016297262059973925,0.060625814863103,0.0697522816166884,0.06453715775749674,0.1440677966101695,0.10691003911342895,0.044980443285528034,0.1166883963494133,0.14341590612777053,0.10299869621903521,0.01955671447196871,44844,54149
81023,12772,CO,177061.53846153847,0.054764512595837894,0.03346303501945525,0.038910505836575876,0.10428015564202335,0.054474708171206226,0.031906614785992216,0.05680933852140078,0.12684824902723735,0.14941634241245136,0.07003891050583658,0.14007782101167315,0.11361867704280156,0.05603112840466926,0.024124513618677044,50833,80009
81050,7703,CO,66692.30769230769,0.08050847457627118,0.07016434892541087,0.07511588706278972,0.05383480825958702,0.08723135271807839,0.06110408765276022,0.1167298777918247,0.11167298777918247,0.13295406658238518,0.06826801517067003,0.04814580699536452,0.09112937210282343,0.06626632954066583,0.01738305941845765,31929,45327
81067,9507,CO,67746.15384615384,0.07183098591549296,0.05920184696569921,0.06893139841688654,0.07305408970976253,0.05738786279683377,0.06728232189973615,0.08443271767810026,0.12120712401055408,0.11543535620052771,0.08063984168865436,0.08146437994722955,0.10422163588390501,0.06843667546174143,0.018304749340369394,32488,47281
81069,12075,CO,159800.0,0.06469165659008465,0.029947916666666668,0.026041666666666668,0.08528645833333333,0.06770833333333333,0.012369791666666666,0.022786458333333332,0.087890625,0.095703125,0.13216145833333334,0.18294270833333334,0.16471354166666666,0.0859375,0.006510416666666667,64617,77737
81122,7930,CO,262700.0,0.04722945332837486,0.05552763819095478,0.0550251256281407,0.06030150753768844,0.06381909547738693,0.028894472361809045,0.12688442211055276,0.13241206030150754,0.17173366834170856,0.09798994974874371,0.07047738693467337,0.08404522613065327,0.041080402010050254,0.011809045226130653,66387,76786
81137,9818,CO,231284.61538461538,0.1055234954657873,0.07221081451060918,0.06279945242984257,0.05817932922655715,0.06724845995893224,0.05937713894592745,0.09804928131416837,0.09582477754962354,0.18634496919917864,0.07255304585900069,0.09069130732375086,0.09154688569472964,0.027720739219712527,0.017453798767967144,54160,64489
81201,7189,CO,337438.46153846156,0.09545454545454546,0.045066725005469266,0.04386348720192518,0.043644716692189896,0.04320717567271932,0.03598774885145482,0.11572959964996718,0.12382410851017282,0.14745132356158389,0.09800918836140889,0.07974185079851236,0.11638591117917305,0.07142857142857142,0.03565959308685189,48140,66914
